Timestamp,Data
2023-08-01 11:58:52.826951,8-58
2023-08-01 11:59:04.097564,-1237	1599	528	17	31	-119
2023-08-01 11:59:04.130879,-1260	2610	482	-101	-89	-84
2023-08-01 11:59:04.159341,-2399	4640	458	-325	-48	-66
2023-08-01 11:59:04.192842,-1240	2802	538	-400	-139	-1
2023-08-01 11:59:04.217533,-2819	2004	584	-214	-9	40
2023-08-01 11:59:04.245787,-2461	2136	522	-9	-8	-21
2023-08-01 11:59:04.270703,-1403	2497	486	26	89	-3
2023-08-01 11:59:04.303542,-1100	3800	502	-94	-82	-108
2023-08-01 11:59:04.331875,-841	2704	393	-279	-60	-117
2023-08-01 11:59:04.360837,-1051	2146	597	-395	-32	22
2023-08-01 11:59:04.389699,-1630	3935	450	-321	10	17
2023-08-01 11:59:04.417826,-1195	2456	520	22	67	-51
2023-08-01 11:59:04.446163,-1158	2552	571	41	-17	-24
2023-08-01 11:59:04.475010,-1796	2432	393	-38	98	-67
2023-08-01 11:59:04.504113,-1459	2765	482	-257	-26	-131
2023-08-01 11:59:04.532760,-857	2287	401	-393	-16	-48
2023-08-01 11:59:04.561577,-1491	2249	501	-330	55	26
2023-08-01 11:59:04.589255,-1309	3788	548	-228	-35	-13
2023-08-01 11:59:04.617574,-2023	2396	575	90	90	-70
2023-08-01 11:59:04.646904,-1498	2231	459	12	74	-115
2023-08-01 11:59:04.679599,-1285	1000	344	-142	-13	-127
2023-08-01 11:59:04.707677,-1347	2126	523	-422	-96	-60
2023-08-01 11:59:04.737590,-1913	3052	558	-329	81	-5
2023-08-01 11:59:04.765564,-2084	2147	628	-169	46	-8
2023-08-01 11:59:04.790781,-1107	2112	566	64	63	-31
